Port,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022
Zanzibar,3084,2819,4848,3204,3290,2701,4206,2426,3703,1440,0,0,0,0,0,118,1010,1448,2461,1156,773,610,230,309,430,932,853,1308,1971,3270,4405,2417,2623,3287,3180,2813,4100,5419,5609
Other Indian Ocean Islands,1161,575,2556,804,1366,1148,818,389,153,595,4,0,0,0,300,278,678,820,1184,1843,356,449,442,284,779,1672,953,491,858,939,1154,947,1113,1996,1045,2534,3482,5272,4504
Lagos,1103,1496,3144,1321,1215,1218,1052,846,617,842,0,0,0,0,48,922,1132,2230,3581,3047,1283,1315,1994,1511,1713,1827,1789,2070,2159,3833,3794,2039,2191,3228,3489,3542,3445,3472,3406
Abidjan,670,663,1252,531,473,505,422,332,463,229,0,0,0,0,440,267,747,310,377,751,538,356,379,75,0,335,230,299,402,557,1012,749,720,946,521,1093,1018,1059,808
Douala,314,187,114,939,206,187,110,836,404,183,0,0,0,0,436,427,499,397,890,969,681,572,384,220,216,322,319,445,477,502,913,410,354,159,0,0,0,152,629
Accra,999,1471,1711,1325,1194,1076,1326,678,665,712,0,0,0,0,48,214,621,1272,1689,1792,1388,1924,1344,1270,1361,1453,1518,1590,1567,1937,2260,1767,1584,2031,2077,2695,2614,3262,3518
Other West Africa,582,529,79,552,739,211,296,268,222,151,528,0,21,0,122,102,42,4,0,5,66,128,106,2,11,4,5,0,5,30,0,4,0,6,0,34,8,43,0
Johannesburg,7083,7030,7888,8758,7932,7788,7023,6475,4695,4447,0,0,0,41,80,153,2344,2941,3926,3643,3670,3891,3467,3780,3609,3282,4297,4733,5489,5945,6088,6177,6289,8409,8102,8709,8056,12435,10219
Harare,707,518,755,1109,974,908,898,633,114,509,0,0,4,0,5,0,261,205,486,489,285,430,489,260,306,604,740,950,993,1184,1443,1517,1155,1456,1834,1678,1594,1671,2034
Lilongwe,289,995,1094,1242,973,1140,1224,749,696,498,0,10,0,7,0,176,409,505,999,1095,762,1200,1249,988,964,838,1054,1391,2134,2049,1961,1869,1884,2290,2498,2509,2755,3490,3234
Lusaka,2021,1142,1212,1626,1459,1199,934,766,327,477,0,34,0,29,531,312,799,1113,1304,923,504,764,970,785,1006,924,933,961,1359,1389,918,1008,1674,2213,2941,2617,2532,2886,4079
Cape Town,0,2035,0,2005,1973,1903,0,2466,2095,846,0,0,0,0,0,0,,0,173,69,124,233,147,51,62,0,81,42,405,450,481,384,314,365,494,409,435,1042,672
Other South Africa,897,1447,2434,1818,1079,3823,1264,1007,738,523,0,0,0,0,183,0,323,526,1167,1385,1095,1164,816,466,445,587,499,1110,1460,1458,1042,1182,1090,1570,1545,1630,1727,2110,1355
Cairo,2690,3294,3566,2969,3015,3100,3079,2788,2611,1589,0,1,136,0,1149,739,758,860,1103,1170,979,1340,1267,1158,1583,1974,2601,1954,2186,2541,3053,4372,3131,3946,3551,2507,3568,4529,4092
Khartoum,573,438,626,286,213,191,382,297,3,226,0,0,10,58,0,0,0,5,16,14,2,3,5,0,0,116,4,1304,0,0,174,225,161,336,202,477,337,599,317
Juba,2248,2643,2411,1761,1652,2413,2343,2483,2108,1271,24,0,74,195,1125,1639,1692,1849,1581,2801,1657,1738,2016,2076,2340,2525,2773,2505,3234,3740,3080,5148,2925,3428,3518,4089,3448,3847,3752
Other North Africa,11,2,14,77,14,5,0,17,25,1,144,5,0,0,0,2,13,6,4,67,9,81,42,57,76,64,0,138,183,3,4,1,96,76,3,206,0,67,0
Other International,6199,5378,6764,6385,5574,8811,5784,6897,6266,3514,9,299,342,660,2658,3632,4645,5481,4731,4781,3878,4879,3125,1425,3549,5971,7063,6465,5377,6133,6096,7154,7067,7910,5000,7738,8507,9090,7234
Total North Africa,5522,6377,6617,5093,4894,5709,5804,5585,4747,3087,168,6,220,253,2274,2380,2463,2720,2704,4052,2647,3162,3330,3291,3999,4679,5378,5901,5603,6284,6311,9746,6313,7786,7274,7279,7353,9042,8161
Total Southern Africa,10997,13167,13383,16558,14390,16761,11343,12096,8665,7300,0,44,4,77,799,641,4136,5290,8055,7604,6440,7682,7138,6330,6392,6235,7604,9187,11840,12475,11933,12137,12406,16303,17414,17552,17099,23634,21593
Total International,151247,165004,209104,184692,162978,167934,168878,162149,134302,86090,2371,1617,3905,4985,30569,34648,54375,65128,83534,92237,68607,86985,78399,70465,83584,108527,136025,126727,139968,147111,153611,141532,139214,177462,174055,183871,200006,241069,232190
Total Europe,36909,34718,39009,40644,39310,33807,27666,36496,24552,19625,1117,229,960,1390,10181,9199,10656,9028,12435,16032,10743,14625,12632,9735,14725,20997,27859,22522,25320,27807,30513,38434,29990,37807,39659,40649,45159,50407,58679
Amsterdam,12421,12908,12657,11919,11187,9653,10258,10978,10367,6631,212,0,406,298,2919,1873,2642,2401,3154,3918,2579,3933,3637,4169,4808,7054,9019,7522,7654,7544,6626,9374,6756,8611,9773,10994,11860,12929,16425
Brussels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
London,11816,9961,11606,10434,10173,7747,7211,7891,7804,7196,107,219,507,140,2522,2526,2541,2494,3379,3735,2779,4348,2026,5,85,378,840,1161,4472,6381,8510,11070,9628,12149,12268,11483,12494,13788,15444
Paris,6185,5916,6577,3768,4926,5579,6443,6233,3916,4543,0,0,0,81,1117,1291,1441,773,1678,2712,1250,1232,1413,1617,3577,5581,8754,6441,6091,6533,7235,9155,7101,8586,8304,9377,11254,12209,14840
Other Europe,1681,2906,3697,11895,10129,10011,2769,10864,2010,1185,798,10,47,228,3510,3162,3823,3358,4224,5667,4135,5101,5556,3944,6255,7984,9246,7398,7103,7340,8142,8835,6505,8461,9314,8795,9551,11481,11970
Zurich,4806,3027,4472,2628,2895,817,985,530,455,70,0,0,0,643,113,347,209,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
Total North America,4750,6548,7099,4821,3332,3533,4283,5497,3467,3465,0,0,0,0,0,0,91,512,1075,351,428,428,536,524,1766,2630,2912,1339,1121,1134,1890,2747,1493,1571,1602,2002,3696,5280,4456
New York,4750,6548,7099,4821,3332,3533,4283,5497,3467,3465,0,0,0,0,0,0,91,512,1075,351,428,428,536,524,1766,2630,2912,1339,1121,1134,1890,2747,1493,1571,1602,2002,3696,5280,4456
Other North America,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Middle East,36898,46900,60701,50129,39797,39520,49280,46616,38259,20296,197,418,467,1225,7001,9032,11732,13781,17439,21093,17060,24432,22372,20412,22570,34493,46932,42831,44297,41994,39971,22956,35694,44900,41408,39334,42158,51197,48753
Dubai,18432,22731,21197,23561,19868,17488,23062,19935,17201,10344,15,0,4,1200,3785,5186,6665,7544,10128,10653,7960,10073,8449,8587,10033,12040,16696,15525,16301,19221,12927,1039,16975,20398,17344,17313,18095,22545,22769
Jeddah,594,1199,2327,1169,1231,1256,1188,1060,833,498,0,16,0,10,0,103,191,565,512,1742,1731,1811,1452,1981,1506,4350,6735,3289,4475,3238,4150,2830,1465,2302,4460,2571,3655,4414,3974
Other Middle East,17872,22970,37177,25399,18698,20776,25030,25621,20225,9454,182,402,463,15,3216,3743,4876,5672,6799,8698,7369,12548,12471,9844,11031,18103,23501,24017,23521,19535,22894,19087,17254,22200,19604,19450,20408,24238,22010
Total Far East,4342,4995,8705,6375,4999,5213,6608,4916,2182,1695,0,218,585,562,1075,1021,2070,4475,5855,5429,4204,5120,4178,2065,2687,2487,1867,2913,3925,5349,5323,3984,3312,4841,5446,5984,7941,10346,7975
Mumbai,2429,2701,3213,2827,2057,2795,3799,2796,2108,1587,0,0,467,229,0,0,689,1983,1918,1542,1521,3214,1937,0,42,172,542,675,1906,1985,1893,1715,1264,1888,2863,3560,4532,5257,4504
Bangkok,515,1547,2962,1741,1371,1420,1336,884,16,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523,0,483,506,422,473,457
Other Far East,1398,747,2530,1807,1571,998,1473,1236,58,0,0,218,118,333,1075,1021,1381,2492,3937,3887,2683,1906,2241,2065,2645,2315,1325,2238,2019,3364,3430,2269,1525,2953,2100,1918,2987,4616,3014
Total East & Central Africa,38939,42364,48374,43074,39191,44864,46375,36297,38664,21987,348,348,1181,818,5187,6357,13849,17360,20972,23154,18115,21303,20208,23012,23386,24267,30267,29001,33671,33589,36560,34667,32811,42908,43381,48525,50165,59832,53114
Addis Ababa,15845,16069,20863,17316,17112,17564,17375,14700,15438,9381,217,308,1050,650,3264,3655,4945,5987,7504,9606,7253,8031,6534,8636,8871,9152,11119,10002,10327,9309,9970,13001,8457,12420,13049,14435,14681,16477,13951
Bujumbura,898,1324,1284,1082,956,1234,1540,1178,1473,533,0,1,1,49,0,58,0,648,908,836,481,490,361,373,519,1060,918,886,1085,1035,1314,920,1152,1456,1716,1742,2077,2901,2257
Dar-es-alaam,4941,5807,5912,6362,4060,7335,7314,6433,7059,3231,117,2,0,38,59,301,1975,2189,2661,2864,1999,2126,2979,3709,4219,4826,5238,4962,6161,5458,6645,5059,6168,7586,7146,8646,8827,11072,10595
Entebbe,10324,9490,10089,10658,9610,11128,11444,7618,6432,4802,0,5,34,73,46,62,3500,4615,5190,4999,4718,5719,5095,5407,4147,3421,5258,6007,7626,8062,9670,8094,7939,10908,11504,10732,11722,13961,11686
Kigali,3149,6244,5744,4231,4475,4768,6199,4273,5013,2578,3,28,86,0,1796,1693,1957,2296,2836,2336,1238,1938,2108,2476,2991,2760,4297,3877,4023,4115,3710,3505,3704,4541,4833,6476,6010,6765,5959
Kinshasa,1237,965,582,615,510,441,327,221,133,252,4,0,4,4,19,359,882,961,1126,1623,1672,1851,2168,1589,1514,1299,1286,1241,2256,3190,2307,1464,1583,2192,1787,1784,1973,2139,3027
Other East & Central Africa,2545,2465,3900,2810,2468,2394,2176,1874,3116,1210,7,4,6,4,3,229,590,664,747,890,754,1148,963,822,1125,1749,2151,2026,2193,2420,2944,2624,3808,3805,3346,4710,4875,6517,5639
Total Indian Ocean Islands,7773,6759,12152,6945,7664,6519,8529,4789,5129,3004,4,55,125,0,300,454,1692,2268,3731,3177,1136,1059,673,593,1209,2827,2282,2164,4204,5487,7035,4738,5279,7066,6784,7444,10843,14253,13864
Mauritius,2230,2481,3663,2273,2390,2215,2709,1450,893,616,0,0,0,0,0,58,0,0,0,178,0,0,0,0,0,0,101,111,1057,927,1067,843,1147,1208,1893,1495,2420,2632,2687
Seychelles,1298,884,1085,664,618,455,796,524,380,353,0,55,125,0,0,0,4,0,86,0,7,0,1,0,0,223,375,254,318,351,409,531,396,575,666,602,841,930,1064
Total West Africa,3668,4346,6300,4668,3827,3197,3206,2960,2371,2117,528,0,21,0,1094,1932,3041,4213,6537,6564,3956,4295,4207,3078,3301,3941,3861,4404,4610,6859,7979,4969,4849,6370,6087,7364,7085,7988,8361
